id_operacion;fecha_operacion;codigo;Marca;Modelo;Anio de lanzamiento;Anio de discontinuado;Tipo de combustible;Transmision;Plazas;Tipo de carroceria;Gama;Precio_Base_0km;Anio_fabricacion;km;precio_actual;codigo2;color
1e23499e-07236;20/1/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;15300;65766;1;Blanco
7320216b-09437;2/10/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;100600;26657;3;Gris
c25bf711-02712;15/1/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;130900;25202;1;Blanco
93dc039e-08234;15/5/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;82700;44652;1;Blanco
96ea0e6a-09474;18/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;15400;65743;5;Rojo
46d47bcc-07617;9/9/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;68000;45276;4;Plata
b92ee4ac-02852;10/6/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;131900;24971;7;Verde
f126d8d7-08040;2/9/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;29200;59783;5;Rojo
8892c202-08547;2/11/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;102400;31786;5;Rojo
4c869086-03225;14/6/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;93900;30977;6;Azul
38c5422e-02116;3/6/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2022;39800;60106;3;Gris
295c178a-05852;27/11/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;84800;46939;5;Rojo
b3e01809-03352;19/3/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;16300;65535;8;Beige
61a865d1-02382;26/11/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2019;100100;32317;7;Verde
4a64850e-04470;26/10/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;15500;65720;6;Azul
4976fb09-04455;7/1/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2022;39300;57450;8;Beige
94476834-10010;20/9/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;118200;28136;8;Beige
1d91006e-06635;21/1/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;28700;62670;4;Plata
bec8c1bc-01547;25/8/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;64500;43313;3;Gris
ce1e903e-06138;2/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;138700;15084;8;Beige
53e80b31-04194;1/1/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2021;66100;48487;4;Plata
70be3e2f-01322;25/12/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2021;61300;49596;2;Negro
97171c5a-10281;30/8/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;150000;15246;8;Beige
c299ea47-07580;17/5/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2021;59900;49919;2;Negro
3831dfdf-09923;31/5/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;30400;62278;3;Gris
80904f07-05663;6/11/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;150900;15038;5;Rojo
a278b8d4-00559;18/7/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;32500;59021;8;Beige
c010cde4-04788;1/5/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;131500;19520;3;Gris
7b024a34-03871;24/4/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2022;43900;56387;1;Blanco
8fb6d971-05801;20/4/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;152800;14599;4;Plata
57cbec2c-06868;5/11/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;98900;29822;8;Beige
7fa5bd15-09215;23/10/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;87800;40702;3;Gris
32824050-00453;17/8/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2019;89100;43174;1;Blanco
f3db0f9f-04775;2/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;30900;59390;3;Gris
dbd88e41-08178;23/1/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;15200;65789;3;Gris
1864e49c-03614;16/12/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2021;53300;56988;8;Beige
5379f6ba-02125;19/3/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;149900;12497;8;Beige
dcb32851-05434;1/6/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;119200;22361;5;Rojo
15546443-08354;27/12/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;33700;58743;8;Beige
321a468a-06232;30/8/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;116700;25710;7;Verde
d9092c19-01492;1/7/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2019;93600;39362;2;Negro
e2d8e300-07229;2/9/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;98000;32802;5;Rojo
c341043c-01700;7/9/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;24600;60845;1;Blanco
c8ea9fd6-00976;13/1/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;136500;18365;7;Verde
78a55e41-06240;14/10/2023;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;28400;62740;7;Verde
f4438fa8-00002;12/3/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2018;95700;36105;1;Blanco
8f9f2b5c-07501;25/8/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2019;76600;37745;8;Beige
ca39abd9-04494;22/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;132100;16609;2;Negro
8d44a77a-05037;17/8/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2021;59900;47147;1;Blanco
fb80a037-01984;6/8/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;138300;20721;4;Plata
eadaae80-07815;20/5/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;107200;25133;6;Azul
d560bfe4-02269;1/10/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;84100;47101;1;Blanco
326e6ac1-02396;15/9/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;16000;65604;4;Plata
7eb80529-05691;27/6/2022;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2015;134600;18803;4;Plata
280bc6e1-07221;6/8/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2023;31900;59159;3;Gris
3763b045-05245;23/2/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;120000;22176;8;Beige
63e72152-00334;3/2/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2020;71400;41719;1;Blanco
4ae28855-04394;7/1/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;13800;66112;1;Blanco
02bb83ad-00534;19/9/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;14500;65951;7;Verde
e740a925-08798;22/1/2021;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2019;99500;40772;3;Gris
aba5da42-04189;27/2/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2016;140500;14669;4;Plata
a001fcca-06008;18/4/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2024;14900;65858;1;Blanco
8f3f92e6-02799;4/5/2024;1;Audi;Q7;2015;En produccion;Diesel;Automatica;7;SUV grande;Alta;70000;2017;99600;26888;2;Negro
c9d15827-06113;1/4/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;65100;42634;4;Plata
a9e42199-00429;26/12/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;85900;34503;8;Beige
9dc59d28-01901;10/5/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;87000;25592;1;Blanco
e92f2ea7-00020;16/1/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;77300;38242;8;Beige
29c4f0d4-01792;7/3/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;94800;35066;8;Beige
c2a563cf-08904;10/9/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;99900;34140;7;Verde
e96313fa-05320;4/3/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;78100;40275;3;Gris
ddf80ffd-00399;5/2/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;62400;43124;1;Blanco
6181a008-07693;30/4/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;96800;34703;8;Beige
735b12c7-04920;11/12/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;79500;40021;4;Plata
5d28baf8-03716;24/3/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;68500;42017;6;Azul
bd270aca-01517;29/2/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;135200;23377;3;Gris
310ea016-05321;1/2/2020;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;68300;42054;6;Azul
6e62a383-10443;3/11/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;117700;24375;7;Verde
2f42af0a-00823;17/9/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;84900;30329;1;Blanco
0df5687b-04628;24/6/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;106900;24158;6;Azul
7bc4b05b-10408;14/4/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;77800;33795;1;Blanco
1e8a81dd-02801;4/1/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;76700;29639;6;Azul
7d54dc83-06988;26/8/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;30600;48896;1;Blanco
875832b2-04929;8/11/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;76700;33995;5;Rojo
66f63d19-09264;3/3/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;103100;24847;1;Blanco
e5ea4cfe-03756;5/4/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;113800;25083;3;Gris
1f21a1b0-10198;28/4/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;16600;51437;2;Negro
e74cac9b-01213;14/4/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;55600;37825;3;Gris
1e110d51-09643;12/12/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;15500;51637;7;Verde
88c85d6c-01931;7/6/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;87300;29893;4;Plata
93d018f0-03500;5/3/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;59300;37153;2;Negro
3b5b8b8d-09982;23/5/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;95300;24085;8;Beige
6c678676-01301;11/4/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;65900;38133;4;Plata
fdb67696-09743;23/9/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;104700;20201;5;Rojo
dcc832a6-00652;18/12/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;94700;28550;3;Gris
1e9f16c4-05890;25/2/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;78300;33705;8;Beige
b2192edd-01136;22/4/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;50600;43088;3;Gris
38d17e94-05433;9/11/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;33600;48352;7;Verde
f715ddbe-05115;5/4/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;100300;23178;3;Gris
9780f17e-03852;18/8/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;15400;51655;4;Plata
6531b409-05092;27/5/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2017;134700;21290;2;Negro
0c24252a-07361;19/12/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;77900;29421;6;Azul
506bf7d0-02784;22/12/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;75100;34285;5;Rojo
b33b8ff6-08562;16/9/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;76700;38351;4;Plata
d83d5d40-02290;6/11/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;63300;42961;3;Gris
f9cd783a-06032;21/2/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;38000;47553;8;Beige
4a11d17f-10370;10/6/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;14900;51746;4;Plata
fd5ab152-07024;8/9/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;61800;43233;8;Beige
a38ac9dd-01387;14/2/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;92900;28877;4;Plata
f54a1674-09122;1/11/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;37500;43288;4;Plata
ec811a37-03408;25/6/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;38800;43052;7;Verde
a3528f6d-10212;11/3/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;79500;33487;8;Beige
ca097010-04945;1/11/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;73800;34521;6;Azul
52fb7fdc-04912;23/7/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;64700;36173;7;Verde
b8e59598-06766;17/3/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;77800;35973;8;Beige
fc078820-01831;17/2/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;25600;47626;7;Verde
a7c7b30b-03159;2/4/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;27600;49441;3;Gris
25ce3260-00023;28/6/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;51800;38514;6;Azul
f6daf3d4-03147;23/10/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;16000;51546;8;Beige
9647f156-07814;30/10/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;45000;44105;6;Azul
d205bb66-01886;11/4/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2019;95500;30583;7;Verde
b315f799-02175;4/1/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;12400;52199;2;Negro
461c3290-08915;24/5/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;14600;51800;8;Beige
1801720c-10432;17/12/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2024;14700;51782;7;Verde
1bb0bf94-07493;26/8/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;25100;47716;4;Plata
6404b5c1-00869;15/1/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;62500;34394;5;Rojo
bb0a200b-06934;27/3/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;57400;41854;1;Blanco
4a9954b6-04865;12/6/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;61500;43288;4;Plata
f0fc75b2-03306;3/10/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;70100;39549;4;Plata
38de4de4-00081;11/8/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;117500;26590;1;Blanco
d1178fc7-02207;5/4/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;83100;32833;8;Beige
677b73f6-01889;14/6/2022;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;66100;40275;7;Verde
e2c72e5a-01348;14/2/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;30600;48896;4;Plata
b55e751f-01419;25/3/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;46600;43814;7;Verde
9a4982a7-03831;20/4/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2020;66300;33705;1;Blanco
08cc3007-09805;1/6/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;29100;49168;1;Blanco
8a41d57d-05773;4/3/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;42900;42308;6;Azul
e3cce29c-08472;9/5/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;65700;42525;7;Verde
0264dec4-00556;23/9/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;33800;48315;8;Beige
a561c5ea-00124;30/6/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;30600;46718;8;Beige
3a78fcb7-00130;17/2/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;64300;36246;7;Verde
c8ce09e2-03633;6/9/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;57200;37534;3;Gris
92773ee6-07699;7/10/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;64300;42780;3;Gris
3ab003ee-03720;29/11/2021;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2021;53700;44703;5;Rojo
2dcd8f7e-06684;9/4/2024;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2018;90300;24993;2;Negro
69afa315-05265;17/1/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2023;31100;48805;8;Beige
cc1846e0-06225;20/2/2023;2;Audi;Q5;2017;En produccion;Diesel;Automatica;5;SUV mediano;Alta;55000;2022;38200;45339;8;Beige
e2f68fc0-07483;14/1/2023;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2023;29500;44633;1;Blanco
fb569986-00515;2/1/2022;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2019;88500;28958;5;Rojo
389444c8-08132;2/12/2024;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2021;62500;33248;3;Gris
8f89c3a9-10210;21/2/2020;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2019;80800;34188;6;Azul
35b981d4-04025;17/11/2020;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2020;72700;37505;5;Rojo
31131787-07621;5/11/2020;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2018;116800;26268;6;Azul
a1ccb932-08507;8/12/2020;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2020;81100;36119;7;Verde
99ecabbc-06480;26/6/2024;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2019;73800;27423;8;Beige
6208cb5d-02849;2/1/2024;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2024;16200;46827;1;Blanco
678c8cc0-09542;22/6/2022;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2019;82700;29915;4;Plata
83e965b2-08286;14/7/2023;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2023;33900;43907;3;Gris
4d53f8aa-09566;22/9/2022;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2020;81300;32126;1;Blanco
6215a581-03222;28/6/2022;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2022;49000;41415;2;Negro
ece50988-06544;30/11/2023;3;Audi;A6;2018;En produccion;Diesel;Automatica;5;Sedan;Alta;50000;2023;32200;44187;8;Beige
